y,ds,sku,agency
52.28,2013-01-01,SKU_01,Agency_22
62.53,2013-02-01,SKU_01,Agency_22
74.2,2013-03-01,SKU_01,Agency_22
89.44,2013-04-01,SKU_01,Agency_22
79.2,2013-05-01,SKU_01,Agency_22
70.44,2013-06-01,SKU_01,Agency_22
75.25,2013-07-01,SKU_01,Agency_22
76.8,2013-08-01,SKU_01,Agency_22
56.9,2013-09-01,SKU_01,Agency_22
75.2,2013-10-01,SKU_01,Agency_22
88.9,2013-11-01,SKU_01,Agency_22
149.1,2013-12-01,SKU_01,Agency_22
49.25,2014-01-01,SKU_01,Agency_22
66.2,2014-02-01,SKU_01,Agency_22
79.6,2014-03-01,SKU_01,Agency_22
89.3,2014-04-01,SKU_01,Agency_22
74.5,2014-05-01,SKU_01,Agency_22
65.25,2014-06-01,SKU_01,Agency_22
101.94,2014-07-01,SKU_01,Agency_22
73.44,2014-08-01,SKU_01,Agency_22
105.3,2014-09-01,SKU_01,Agency_22
60.7,2014-10-01,SKU_01,Agency_22
92.56,2014-11-01,SKU_01,Agency_22
123.75,2014-12-01,SKU_01,Agency_22
103.7,2015-01-01,SKU_01,Agency_22
60.16,2015-02-01,SKU_01,Agency_22
190.5,2015-03-01,SKU_01,Agency_22
120.3,2015-04-01,SKU_01,Agency_22
119.75,2015-05-01,SKU_01,Agency_22
126.9,2015-06-01,SKU_01,Agency_22
84.56,2015-07-01,SKU_01,Agency_22
113.5,2015-08-01,SKU_01,Agency_22
110.06,2015-09-01,SKU_01,Agency_22
88.25,2015-10-01,SKU_01,Agency_22
106.25,2015-11-01,SKU_01,Agency_22
133.8,2015-12-01,SKU_01,Agency_22
70.3,2016-01-01,SKU_01,Agency_22
110.56,2016-02-01,SKU_01,Agency_22
122.06,2016-03-01,SKU_01,Agency_22
115.9,2016-04-01,SKU_01,Agency_22
152.4,2016-05-01,SKU_01,Agency_22
128.2,2016-06-01,SKU_01,Agency_22
157.1,2016-07-01,SKU_01,Agency_22
115.56,2016-08-01,SKU_01,Agency_22
75.5,2016-09-01,SKU_01,Agency_22
94.06,2016-10-01,SKU_01,Agency_22
69.7,2016-11-01,SKU_01,Agency_22
104.3,2016-12-01,SKU_01,Agency_22
70.0,2017-01-01,SKU_01,Agency_22
116.1,2017-02-01,SKU_01,Agency_22
120.9,2017-03-01,SKU_01,Agency_22
138.4,2017-04-01,SKU_01,Agency_22
113.8,2017-05-01,SKU_01,Agency_22
